Date,Player,SetOneScore,SetTwoScore,SetThreeScore,SetFourScore,SetFiveScore,1st Serve %,2nd Serve %,Aces,Double Faults,Winners,Unforced Errors,Forced Errors,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Won,Total Points Won,% of Points Won,0-4 Touches,5-8 Touches,9+ Touches,Forehand Winner,Forehand Slice Winner,Forehand Volley Winner,Forehand Return Winner,Forehand Passing Shot Winner,Inside-Out Winner,Inside-In Winner,Backhand Winner,Backhand Slice Winner,Backhand Volley Winner,Backhand Return Winner,Backhand Passing Shot Winner,Approach Winner,Overhead Winner,Drop Shot Winner,Lob Winner,Total Winner,Forehand Forced Error,Forehand Slice Forced Error,Forehand Volley Forced Error,Forehand Return Forced Error,Forehand Passing Shot Forced Error,Inside-Out Forced Error,Inside-In Forced Error,Backhand Forced Error,Backhand Slice Forced Error,Backhand Volley Forced Error,Backhand Return Forced Error,Backhand Passing Shot Forced Error,Approach Forced Error,Overhead Forced Error,Drop Shot Forced Error,Lob Forced Error,Total Forced Error,Forehand Unforced Error,Forehand Slice Unforced Error,Forehand Volley Unforced Error,Forehand Return Unforced Error,Forehand Passing Shot Unforced Error,Inside-Out Unforced Error,Inside-In Unforced Error,Backhand Unforced Error,Backhand Slice Unforced Error,Backhand Volley Unforced Error,Backhand Return Unforced Error,Backhand Passing Shot Unforced Error,Approach Unforced Error,Overhead Unforced Error,Drop Shot Unforced Error,Lob Unforced Error,Total Unforced Error
2024-06-30 19:07:36 +0000,Andrew Ma,2,4,,,,75.86%,100.00%,0,0,7,30,7,29/44 (65.91%),6/14 (42.86%),3/6 (50.00%),6/31 (19.35%),7/21 (33.33%),0/2 (0.00%),48,43.64%,48,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,1,1,7,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,7,6,0,2,1,0,0,0,6,2,2,3,1,2,0,0,4,30
2024-06-30 19:07:36 +0000,Jovan,6,6,,,,59.62%,90.48%,1,2,12,21,10,25/31 (80.65%),14/21 (66.67%),2/2 (100.00%),15/44 (34.09%),8/14 (57.14%),3/6 (50.00%),62,56.36%,62,0,0,5,0,0,1,1,0,0,0,0,0,0,0,2,0,3,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,6,2,0,0,0,4,0,1,1,21

SetNumber,GameNumber,PointNumber,PlayerOneSetScore,PlayerTwoSetScore,PlayerOneGameScore,PlayerTwoGameScore,ServeType,PointDescription
1,1,1,0,0,15,0,First,Andrew Ma won the point
1,1,2,0,0,30,0,First,Andrew Ma won the point
1,1,3,0,0,40,0,First,Andrew Ma won the point
1,1,4,1,0,0,0,First,Andrew Ma won the point
1,2,5,1,0,0,15,First,Zoravar Sandhu won the point
1,2,6,1,0,0,30,First,Zoravar Sandhu won the point
1,2,7,1,0,0,40,First,Zoravar Sandhu won the point
1,2,8,1,1,0,0,First,Zoravar Sandhu won the point
1,3,9,1,1,15,0,First,Andrew Ma won the point
1,3,10,1,1,30,0,First,Andrew Ma won the point
1,3,11,1,1,40,0,First,Andrew Ma won the point
1,3,12,2,1,0,0,First,Andrew Ma won the point
1,4,13,2,1,0,15,First,Zoravar Sandhu won the point
1,4,14,2,1,0,30,First,Zoravar Sandhu won the point
1,4,15,2,1,0,40,First,Zoravar Sandhu won the point
1,4,16,2,2,0,0,First,Zoravar Sandhu won the point
1,5,17,2,2,0,15,First,Andrew Ma loses the point with an unforced error
1,5,18,2,2,0,30,First,Zoravar Sandhu won the point
1,5,19,2,2,0,40,First,Zoravar Sandhu won the point
1,5,20,2,3,0,0,First,Zoravar Sandhu won the point
1,6,21,2,3,0,15,First,Andrew Ma loses the point with a net forehand unforced error
1,6,22,2,3,0,30,First,Andrew Ma loses the point with a net forehand unforced error
1,6,23,2,3,0,40,Second,Andrew Ma loses the point with a wide cross court forehand approach unforced error
1,6,24,2,3,15,40,First,Zoravar Sandhu loses the point with a net forehand approach unforced error
1,6,25,2,3,30,40,Second,Zoravar Sandhu loses the point with a forehand forced error
1,6,26,2,4,0,0,First,Zoravar Sandhu wins the point with a down the line forehand approach winner
1,7,27,2,4,0,15,Second,Andrew Ma loses the point with a down the line net forehand unforced error
1,7,28,2,4,0,30,Second,Zoravar Sandhu wins the point with a cross court forehand winner
1,7,29,2,4,15,30,First,Andrew Ma wins the point with a down the line forehand approach winner
1,7,30,2,4,30,30,First,Zoravar Sandhu loses the point with a down the line net backhand unforced error
1,7,31,2,4,40,30,First,Zoravar Sandhu loses the point with a long backhand unforced error
1,7,32,2,4,40,40,Second,Zoravar Sandhu wins the point with a cross court forehand winner
1,7,33,2,4,40,A,First,Zoravar Sandhu wins the point with a backhand drop shot winner
1,7,34,2,5,0,0,First,Andrew Ma loses the point with a net forehand volley unforced error
1,8,35,2,5,15,0,Second,Zoravar Sandhu loses the point with a double fault, long 
1,8,36,2,5,15,15,First,Andrew Ma loses the point with a net forehand slice forced error
1,8,37,2,5,30,15,First,Zoravar Sandhu loses the point with a forehand forced error
